date;rua;numero;bairro;condominio;price;area;price_by_sqm;condominium_fee;iptu;rooms;bathrooms;garage;agent;agent_number;latitude;longitude;property_d;url
25/07/17;Clodomiro Amazonas;1346;Vila Nova Conceição;Condomínio My Space ;1101000;71;15.507;R$930 ;R$1.383 ;2;2;2;Kira SpaÌ¤o.;(11) 2769-9220 ;-23.596.124;-46.676.468;82072526;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-71m2-venda-RS1101000-id-82072526/
25/07/17;Marcos Lopes;280;Vila Nova Conceição;Condomínio VILA NOVA LUXURY HOME DESIGN ;1115000;79;14.113;;;1;2;1;NPi NegociaÌ¤Ì£o Personalizada de Imóveis;(11) 2614-4414 ;-23.597.673;-46.671.459;41262439;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-79m2-venda-RS1115000-id-41262439/
25/07/17;Jaques FÌ©lix;278;Vila Nova Conceição;Condomínio Vila Nova Advanced Home ;1129000;72;15.680;R$950 ;;2;;2;Brokers SP Imóveis;(11) 2306-8817 ;-23.590.743;-46.671.066;51884942;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-72m2-venda-RS1129000-id-51884942/
25/07/17;Presidente Juscelino Kubitschek;1545;Vila Nova Conceição;Condomínio Horizonte Home And Office ;1130000;54;20.925;R$750 ;;1;1;1;Razzino Corretor;(11) 94121-1784 ;-23.591.813;-46.683.768;78665518;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-54m2-venda-RS1130000-id-78665518/
25/07/17;Presidente Juscelino Kubitschek;1545;Vila Nova Conceição;Condomínio Horizonte Home And Office ;1138597;57;19.975;R$644 ;;1;1;1;Olímpia House;(11) 3937-3900 ;-23.591.757;-46.683.778;75960149;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-57m2-venda-RS1138597-id-75960149/
25/07/17;Casa do Ator;90;Vila Nova Conceição;;1140000;95;12.000;;;3;4;2;Roberto Gois;(11) 99930-5053 ;-23.600.662;-46.674.743;82892021;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-95m2-venda-RS1140000-id-82892021/
25/07/17;Casa do Ator;90;Vila Nova Conceição;;1140000;95;12.000;;;3;5;2;Souza Corretor;(11) 96183-0909 ;-23.600.662;-46.674.743;82623905;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-95m2-venda-RS1140000-id-82623905/
25/07/17;JoÌ£o LourenÌ¤o;754;Vila Nova Conceição;Condomínio PolÌ_mnia ;1149000;168;6.839;R$1.750 ;R$240 ;3;3;2;BRASIL SP IMOVEIS;(11) 5531-0050 ;-23.589.179;-46.671.392;78447003;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-168m2-venda-RS1149000-id-78447003/
25/07/17;Ministro JesuÌ_no Cardoso;148;Vila Nova Conceição;Condomínio Forma Itaim ;1150000;45;25.555;R$500 ;R$110 ;1;1;1;Olímpia House;(11) 3937-3900 ;-2.359.186;-46.679.232;76763214;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-45m2-venda-RS1150000-id-76763214/
25/07/17;Ministro JesuÌ_no Cardoso;148;Vila Nova Conceição;Condomínio Forma Itaim ;1150000;45;25.555;R$500 ;R$110 ;1;1;1;IMOVEIS AA;(11) 3937-3900 ;-2.359.186;-46.679.232;80471190;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-45m2-venda-RS1150000-id-80471190/
25/07/17;Silva Correia;165;Vila Nova Conceição;Condomínio Magnum Duplex ;1150000;77;14.935;R$850 ;R$290 ;1;2;2;CW Pool Imóveis;(11) 97206-9178 ;-23.594.969;-46.678.454;79293906;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-77m2-venda-RS1150000-id-79293906/
25/07/17;Clodomiro Amazonas;506;Vila Nova Conceição;Condomínio Limited Itaim ;1150000;70;16.428;R$1.200 ;R$1.423 ;1;2;;Rofe Consultoria de Imóveis;(11) 2384-7633 ;-23.588.812;-46.679.016;82469959;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-70m2-venda-RS1150000-id-82469959/
25/07/17;JoÌ£o LourenÌ¤o;754;Vila Nova Conceição;Condomínio PolÌ_mnia ;1150000;168;6.845;R$1.740 ;R$245 ;3;2;2;Jubaia Imóveis;(11) 95777-3722 ;-23.589.179;-46.671.392;80992415;https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-168m2-venda-RS1150000-id-80992415/
